studentAdmissionNo,className,sectionName,status,startDate,endDate
ADM-1185,Class 86,B,active,2024-06-01,
ADM-1186,Class 87,A,active,2024-06-01,
ADM-1187,Class 88,B,active,2024-06-01,
ADM-1188,Class 89,A,active,2024-06-01,
ADM-1189,Class 90,B,active,2024-06-01,
ADM-1190,Class 91,A,active,2024-06-01,
ADM-1191,Class 92,B,active,2024-06-01,
ADM-1192,Class 93,A,active,2024-06-01,
ADM-1193,Class 94,B,active,2024-06-01,
ADM-1194,Class 95,A,active,2024-06-01,
ADM-1195,Class 96,B,active,2024-06-01,
ADM-1196,Class 97,A,active,2024-06-01,
ADM-1197,Class 98,B,active,2024-06-01,
ADM-1198,Class 99,A,active,2024-06-01,
ADM-1199,Class 100,B,active,2024-06-01,
